                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.1526,                0.78449,                0.95799,                0.84827,                0.81613,                  0.892,                0.54119,                0.72456,                0.42185,                0.92458,               0.003325,               0.003325,               0.003325
                      2,                 1.1072,                  0.575,                0.91492,                0.86744,                 0.8515,                0.91605,                0.58284,                0.70996,                0.43753,                0.92169,              0.0066319,              0.0066319,              0.0066319
                      3,                 1.1345,                0.58236,                0.91838,                0.90697,                0.85792,                0.93146,                0.62123,                0.75397,                0.40382,                 0.9581,              0.0099125,              0.0099125,              0.0099125
                      4,                 1.1024,                0.56115,                0.91395,                0.90143,                0.88363,                0.94383,                0.63342,                0.70447,                0.40139,                0.90612,              0.0098812,              0.0098812,              0.0098812
                      5,                 1.0563,                0.52772,                0.90011,                0.93222,                0.89943,                0.95994,                0.65737,                0.69571,                0.38124,                 0.9028,              0.0098416,              0.0098416,              0.0098416
                      6,                 1.0015,                0.49947,                 0.8941,                0.92935,                0.91463,                 0.9654,                0.66794,                0.67769,                 0.3634,                0.91941,               0.009802,               0.009802,               0.009802
                      7,                0.98001,                0.48295,                0.89147,                0.93713,                0.91955,                0.96969,                0.68547,                0.63896,                0.33623,                0.92053,              0.0097624,              0.0097624,              0.0097624
                      8,                0.95011,                0.46774,                 0.8851,                0.95039,                0.92848,                 0.9734,                0.71057,                0.61336,                 0.3272,                0.89136,              0.0097228,              0.0097228,              0.0097228
                      9,                0.92578,                 0.4559,                0.88271,                0.94288,                 0.9282,                0.97285,                0.69566,                0.63332,                0.33248,                0.92148,              0.0096832,              0.0096832,              0.0096832
                     10,                0.90741,                0.44604,                 0.8816,                0.94648,                0.92796,                0.97473,                0.71754,                0.61746,                0.32381,                0.91994,              0.0096436,              0.0096436,              0.0096436
                     11,                0.89318,                0.43444,                0.87755,                0.95938,                0.94019,                0.98174,                0.73601,                0.59198,                0.31488,                0.91165,               0.009604,               0.009604,               0.009604
                     12,                0.88404,                0.43006,                0.87594,                 0.9506,                 0.9373,                0.97862,                0.72155,                0.60393,                0.31277,                0.91969,              0.0095644,              0.0095644,              0.0095644
                     13,                0.86475,                 0.4203,                0.87264,                0.96631,                0.94722,                 0.9834,                0.75596,                0.57063,                0.29254,                0.90215,              0.0095248,              0.0095248,              0.0095248
                     14,                0.85038,                0.41496,                0.87459,                0.96074,                0.94815,                 0.9837,                0.74203,                 0.5893,                0.30476,                0.90734,              0.0094852,              0.0094852,              0.0094852
                     15,                0.84754,                0.41042,                0.86774,                0.96516,                0.94868,                0.98515,                0.75594,                0.56688,                0.29662,                0.89722,              0.0094456,              0.0094456,              0.0094456
                     16,                0.83492,                 0.4051,                0.86738,                0.97014,                0.95072,                0.98745,                0.74823,                0.58407,                0.30204,                0.89447,               0.009406,               0.009406,               0.009406
                     17,                0.82366,                0.39961,                0.86535,                0.96853,                0.94805,                0.98511,                0.75011,                0.57958,                0.29272,                0.89845,              0.0093664,              0.0093664,              0.0093664
                     18,                0.81371,                0.39474,                0.86398,                0.96947,                 0.9517,                0.98717,                0.77212,                0.54525,                0.28382,                0.89804,              0.0093268,              0.0093268,              0.0093268
                     19,                0.80471,                 0.3914,                0.86274,                0.96414,                 0.9515,                0.98589,                0.74148,                0.58985,                 0.3005,                0.89887,              0.0092872,              0.0092872,              0.0092872
                     20,                0.79774,                0.38783,                0.86371,                0.97003,                0.95672,                0.98866,                0.77939,                0.54182,                0.27737,                0.89726,              0.0092476,              0.0092476,              0.0092476
                     21,                0.79737,                0.38498,                0.86003,                0.97306,                0.95428,                0.98825,                0.76984,                0.55775,                0.28203,                0.89878,               0.009208,               0.009208,               0.009208
                     22,                0.78912,                0.38156,                 0.8604,                 0.9692,                 0.9609,                0.98903,                0.77196,                0.55057,                0.28103,                0.88778,              0.0091684,              0.0091684,              0.0091684
                     23,                0.78132,                0.37919,                 0.8585,                0.97326,                0.95417,                0.98816,                0.77154,                0.54043,                0.27423,                0.88974,              0.0091288,              0.0091288,              0.0091288
                     24,                0.77323,                0.37342,                0.85616,                0.96873,                0.96185,                0.98932,                0.77112,                 0.5443,                 0.2733,                0.89572,              0.0090892,              0.0090892,              0.0090892
                     25,                 0.7702,                0.37264,                0.85448,                0.97145,                0.95834,                0.98805,                0.77113,                0.54928,                0.27706,                0.89107,              0.0090496,              0.0090496,              0.0090496
                     26,                0.76611,                0.37053,                  0.859,                0.97177,                 0.9608,                0.98981,                0.78243,                0.53602,                0.27222,                0.89352,                0.00901,                0.00901,                0.00901
                     27,                0.75998,                0.36871,                0.85664,                0.97531,                0.96205,                0.99046,                0.78818,                0.53406,                0.26998,                0.89445,              0.0089704,              0.0089704,              0.0089704
                     28,                0.75399,                 0.3641,                0.85516,                0.97613,                0.96221,                0.99044,                0.79094,                0.53199,                 0.2629,                0.89468,              0.0089308,              0.0089308,              0.0089308
                     29,                0.74873,                0.36142,                0.85476,                 0.9747,                0.96339,                0.99012,                0.79328,                0.52277,                0.26494,                0.88924,              0.0088912,              0.0088912,              0.0088912
                     30,                0.73994,                0.35862,                0.85474,                0.97388,                0.96689,                0.99066,                0.78297,                 0.5353,                 0.2679,                0.89226,              0.0088516,              0.0088516,              0.0088516
                     31,                0.74346,                0.35773,                0.85486,                0.97694,                0.96092,                0.99085,                 0.7946,                0.51752,                0.25933,                0.88985,               0.008812,               0.008812,               0.008812
                     32,                0.73303,                0.35515,                0.85479,                0.97707,                0.96312,                0.99008,                0.77878,                0.53757,                0.25963,                0.89359,              0.0087724,              0.0087724,              0.0087724
                     33,                0.73558,                0.35592,                0.85234,                0.97575,                0.96421,                0.99049,                0.79145,                 0.5216,                0.26182,                0.88847,              0.0087328,              0.0087328,              0.0087328
                     34,                 0.7301,                0.35379,                0.85159,                0.97626,                0.96348,                0.99068,                0.80038,                 0.5194,                0.26398,                0.89211,              0.0086932,              0.0086932,              0.0086932
                     35,                0.72742,                0.35214,                0.84807,                0.97757,                0.96701,                0.99116,                0.80317,                0.51269,                0.26348,                0.87566,              0.0086536,              0.0086536,              0.0086536
                     36,                0.72133,                0.34959,                0.84958,                0.97585,                0.96744,                0.99075,                0.80438,                0.50615,                0.25586,                0.89119,               0.008614,               0.008614,               0.008614
                     37,                0.72614,                0.34968,                0.85031,                0.97721,                0.97003,                0.99154,                  0.801,                0.51748,                0.25484,                0.88991,              0.0085744,              0.0085744,              0.0085744
                     38,                0.72101,                0.34836,                0.85085,                 0.9707,                0.96878,                0.99092,                0.79548,                0.51677,                0.25774,                0.88917,              0.0085348,              0.0085348,              0.0085348
                     39,                0.72112,                0.34659,                0.85056,                0.97805,                0.96581,                 0.9912,                0.80835,                0.51063,                0.25356,                0.88889,              0.0084952,              0.0084952,              0.0084952
                     40,                0.71279,                0.34256,                0.84849,                0.97527,                0.96895,                0.99118,                0.79735,                 0.5148,                0.25354,                0.89038,              0.0084556,              0.0084556,              0.0084556
